date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:16:46	40879/40879	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Oct%202025%2016:16:25%20GMT	http://168.138.165.231/home.html	C:/My%20Web%20Sites/PROYECTO%20EMEM/168.138.165.231/home.html	(from )
10:16:47	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Mon,%2027%20Oct%202025%2016:16:26%20GMT	http://168.138.165.231/robots.txt		(from )
10:16:47	1517/1517	---M--	200	added ('OK')	image/png	date:Fri,%2024%20May%202024%2008:11:40%20GMT	http://168.138.165.231/img/icon.png	C:/My%20Web%20Sites/PROYECTO%20EMEM/168.138.165.231/img/icon.png	(from http://168.138.165.231/home.html)
10:16:48	24310/24310	---M--	200	added ('OK')	text/css	date:Fri,%2024%20May%202024%2008:11:40%20GMT	http://168.138.165.231/css/facebook.css	C:/My%20Web%20Sites/PROYECTO%20EMEM/168.138.165.231/css/facebook.css	(from http://168.138.165.231/home.html)
10:16:49	882/882	---M--	200	added ('OK')	text/css	date:Fri,%2024%20May%202024%2008:11:40%20GMT	http://168.138.165.231/css/buttons.css	C:/My%20Web%20Sites/PROYECTO%20EMEM/168.138.165.231/css/buttons.css	(from http://168.138.165.231/home.html)
10:16:49	1533/1533	---M--	200	added ('OK')	text/css	date:Fri,%2024%20May%202024%2008:11:40%20GMT	http://168.138.165.231/css/tooltiplink.css	C:/My%20Web%20Sites/PROYECTO%20EMEM/168.138.165.231/css/tooltiplink.css	(from http://168.138.165.231/home.html)
10:16:50	732/732	---M--	200	added ('OK')	text/css	date:Fri,%2024%20May%202024%2008:11:40%20GMT	http://168.138.165.231/css/zbar.css	C:/My%20Web%20Sites/PROYECTO%20EMEM/168.138.165.231/css/zbar.css	(from http://168.138.165.231/home.html)
10:16:50	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15851%22	http://code.jquery.com/jquery-3.4.1.min.js	C:/My%20Web%20Sites/PROYECTO%20EMEM/code.jquery.com/jquery-3.4.1.min.js	(from http://168.138.165.231/home.html)
10:16:51	62421/62421	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fd5-f3d5%22	http://cdnjs.cloudflare.com/ajax/libs/socket.io/2.2.0/socket.io.js	C:/My%20Web%20Sites/PROYECTO%20EMEM/cdnjs.cloudflare.com/ajax/libs/socket.io/2.2.0/socket.io.js	(from http://168.138.165.231/home.html)
10:16:52	3094/3094	---M--	200	added ('OK')	application/javascript	date:Fri,%2024%20May%202024%2008:11:40%20GMT	http://168.138.165.231/js/socketio.js	C:/My%20Web%20Sites/PROYECTO%20EMEM/168.138.165.231/js/socketio.js	(from http://168.138.165.231/home.html)
10:16:52	997/997	---M--	200	added ('OK')	application/javascript	date:Fri,%2024%20May%202024%2008:11:40%20GMT	http://168.138.165.231/js/flash.js	C:/My%20Web%20Sites/PROYECTO%20EMEM/168.138.165.231/js/flash.js	(from http://168.138.165.231/home.html)
10:16:53	1222/1222	---M--	200	added ('OK')	application/javascript	date:Fri,%2024%20May%202024%2008:11:40%20GMT	http://168.138.165.231/js/session.js	C:/My%20Web%20Sites/PROYECTO%20EMEM/168.138.165.231/js/session.js	(from http://168.138.165.231/home.html)
10:16:54	1926/1926	---M--	200	added ('OK')	application/javascript	date:Fri,%2024%20May%202024%2008:11:40%20GMT	http://168.138.165.231/js/empires.js	C:/My%20Web%20Sites/PROYECTO%20EMEM/168.138.165.231/js/empires.js	(from http://168.138.165.231/home.html)
10:16:55	5470/5470	---M--	200	added ('OK')	image/png	date:Fri,%2024%20May%202024%2008:11:40%20GMT	http://168.138.165.231/img/xp.png	C:/My%20Web%20Sites/PROYECTO%20EMEM/168.138.165.231/img/xp.png	(from http://168.138.165.231/home.html)
10:16:55	2246/2246	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Oct%202025%2016:16:34%20GMT	http://168.138.165.231/	C:/My%20Web%20Sites/PROYECTO%20EMEM/168.138.165.231/index.html	(from http://168.138.165.231/home.html)
